Date,Period,Volume,total,price
13/01/2016,Year 2017 Baseload,5,43800,27.75
15/04/2015,May '15 Baseload,10,7440,30.9
7/05/2014,Week 20 '14 Baseload,10,1680,32.5
23/09/2014,Day-ahead Baseload,5,120,39.25
18/06/2015,Day-ahead Baseload,10,240,31.7
24/11/2014,Year 2016 Baseload,10,87840,35.9
11/02/2016,Day-ahead Baseload,25,600,30.7
22/02/2016,Q2 '16 Baseload,5,10920,25.9
9/09/2013,Day-ahead Peaks,5,60,60
2/02/2016,Day-ahead Baseload,10,240,29.5
18/11/2014,Year 2015 Baseload,5,43800,36.2
27/09/2013,October '13 Baseload,25,18625,41.25
3/06/2014,Week 24 '14 Baseload,10,1680,31
5/09/2013,Week 37 '13 Baseload,10,1680,42
17/12/2014,Friday Baseload,10,240,37
14/12/2015,Day-ahead Baseload,15,360,44.25
6/08/2013,Day-ahead Baseload,5,120,45
16/04/2014,Day-ahead Baseload,10,240,39
11/08/2014,Day-ahead Baseload,5,120,27.9
20/01/2016,Year 2017 Baseload,5,43800,26.5
17/02/2015,Q2 '15 Baseload,10,21840,34
3/01/2014,Day-ahead Baseload,15,360,29
26/06/2014,Day-ahead Baseload,10,240,38
29/08/2014,Day-ahead Baseload,50,1200,36
11/06/2015,Day-ahead Baseload,5,120,34
6/12/2013,Year 2014 Baseload,5,43800,37.6
12/08/2014,Week 34 '14 Baseload,15,2520,29.75
10/10/2014,December '14 Baseload,10,7440,34.7
10/09/2014,Week 39 '14 Baseload,5,840,34.75
15/09/2015,Day-ahead Baseload,10,240,42.95
21/01/2016,Q2 '16 Baseload,10,21840,29
19/08/2016,Year 2017 Baseload,10,87600,28.25
26/02/2014,Day-ahead Baseload,5,120,37.6
18/06/2014,Week 26 '14 Baseload,10,1680,34.3
30/09/2014,November '14 Baseload,10,7200,37
6/08/2015,Day-ahead Baseload,5,120,36.5
16/11/2015,December '15 Baseload,10,7440,34.75
12/02/2016,Year 2017 Baseload,25,219000,25.15
22/08/2014,Year 2015 Baseload,10,87600,35.85
9/11/2015,Day-ahead Baseload,10,240,35.75
6/07/2015,Wednesday Baseload,10,240,44
7/11/2014,Year 2015 Baseload,20,175200,35.5
13/01/2015,Day-ahead Baseload,10,240,32.25
22/10/2015,Year 2016 Baseload,5,43920,31.95
27/01/2016,Day-ahead Baseload,20,480,35
9/12/2014,Week 52 '14 Baseload,3,504,22
9/05/2014,Week 20 '14 Baseload,10,1680,33
22/12/2014,Day-ahead Baseload,10,240,18.25
27/11/2014,January '15 Baseload,10,7440,39
3/12/2015,Weekend Baseload,10,480,24
13/05/2016,June '16 Baseload,5,3600,29
31/01/2014,Day-ahead Baseload,5,120,44
7/08/2013,Day-ahead Baseload,5,120,49.7
5/09/2016,October '16 Baseload,10,7450,31.5
14/08/2014,Week 34 '14 Peaks,10,600,37.1
11/11/2014,Weekend Baseload,10,480,25.25
