Date,Period,Volume,total,price
16/10/2014,Week 43 '14 Baseload,50,8450,29.6
21/10/2015,Year 2016 Peaks,10,31320,40.25
16/07/2014,Week 30 '14 Baseload,10,1680,32.75
19/09/2013,Year 2014 Baseload,3,26280,38.55
9/11/2015,Wednesday Baseload,70,1680,40
18/02/2016,Day-ahead Baseload,10,240,26
8/12/2015,Day-ahead Baseload,10,240,35.5
9/10/2014,November '14 Baseload,5,3600,36.55
11/09/2014,October '14 Baseload,25,18625,35.25
27/01/2014,Day-ahead Baseload,5,120,42.9
29/08/2014,Day-ahead Baseload,50,1200,36
8/12/2015,Day-ahead Baseload,15,360,35.5
8/08/2013,Week 33 '13 Baseload,5,840,36
8/04/2015,Q3 '15 Baseload,10,22080,34
20/03/2014,Day-ahead Extended-Peaks,5,80,32.4
18/12/2014,Day-ahead Baseload,10,240,37.39
25/03/2015,April '15 Baseload,10,7200,33.4
14/12/2015,Day-ahead Baseload,15,360,45
16/12/2013,Year 2014 Baseload,2,17520,37.2
20/12/2013,Sunday Baseload,10,240,14
16/04/2014,Day-ahead Baseload,10,240,38
28/01/2015,Day-ahead Baseload,13,312,33.25
5/02/2014,Day-ahead Extended-Peaks,5,80,38.3
7/05/2014,Year 2015 Baseload,1,8760,35.3
16/10/2015,Q1 '16 Baseload,5,10915,33.35
9/07/2015,Day-ahead Baseload,5,120,37
3/12/2015,Weekend Baseload,10,480,24
23/07/2014,Year 2015 Baseload,5,43800,35.8
6/10/2015,November '15 Baseload,25,18000,36.5
12/12/2013,Weekend Baseload,40,1920,35.75
19/11/2015,Week 48 '15 Baseload,15,2520,39
29/10/2015,November '15 Baseload,10,7200,38.5
9/01/2015,Week 3 '15 Baseload,20,3360,31.25
10/02/2014,April '14 Baseload,5,3600,32.85
2/10/2014,Week 41 '14 Baseload,10,1680,36.15
21/10/2014,Day-ahead Baseload,10,240,39.75
1/08/2014,September '14 Baseload,10,7200,36.7
17/12/2015,Week 52 '15 Baseload,5,840,24.75
17/12/2013,Thursday Baseload,15,360,40
8/06/2016,Day-ahead Baseload,10,240,37.25
30/07/2014,Week 32 '14 Baseload,5,840,31.75
9/10/2015,Day-ahead Baseload,10,240,43.5
25/09/2015,Weekend Baseload,15,720,30
17/09/2015,Day-ahead Baseload,10,240,41.5
19/08/2014,Year 2015 Baseload,5,43800,35.8
5/08/2014,Q1 '15 Baseload,5,10795,38.25
5/11/2014,Day-ahead Baseload,10,240,44.5
19/09/2016,Year 2017 Baseload,10,87600,28.7
9/12/2015,Day-ahead Baseload,40,960,36
10/02/2016,Year 2017 Baseload,10,87600,25
7/01/2014,February '14 Baseload,10,6720,41.55
10/03/2014,Q2 '14 Baseload,10,21840,31.15
22/10/2015,Year 2016 Peaks,5,15660,40.25
27/05/2016,June '16 Baseload,10,7200,28.75
28/09/2015,Day-ahead Baseload,5,120,37
14/01/2015,Day-ahead Baseload,5,120,26.5
8/12/2014,Day-ahead Baseload,10,240,50
9/01/2015,March '15 Baseload,25,18575,34
11/06/2015,Day-ahead Baseload,10,240,34.5
24/09/2014,Year 2015 Baseload,25,219000,35
25/04/2016,May '16 Baseload,5,3720,27.9
19/12/2014,Weekend Baseload,15,720,17
9/01/2015,Day-ahead Baseload,20,480,32
22/07/2014,Day-ahead Baseload,5,120,32.5
8/07/2015,August '15 Baseload,10,7440,30.4
16/10/2015,November '15 Baseload,10,7200,36.2
10/06/2015,Day-ahead Baseload,10,240,34
17/12/2014,Day-ahead Baseload,10,240,39
9/01/2014,Day-ahead Baseload,5,120,28.8
2/08/2013,Weekend Baseload,10,480,27
20/01/2014,Day-ahead Baseload,10,240,52
5/11/2015,Q2 '16 Baseload,10,21840,31
15/01/2014,February '14 Baseload,10,6720,39.65
29/06/2015,Week 28 '15 Baseload,10,1680,36.75
6/04/2016,May '16 Baseload,5,3720,24.8
9/12/2013,January '14 Baseload,10,7440,40.3
25/01/2016,Year 2017 Baseload,15,131400,26.45
16/04/2014,Day-ahead Baseload,10,240,41
12/08/2013,Day-ahead Baseload,5,120,51.5
21/01/2015,February '15 Baseload,5,3360,35
19/12/2013,January '14 Baseload,10,7440,40.55
23/09/2013,Day-ahead Baseload,5,120,48.4
22/09/2014,Q4 '14 Baseload,10,22090,1.1
12/05/2015,Year 2016 Baseload,15,131760,32.8
19/12/2014,Week 52 '14 Baseload,10,1680,21.5
29/10/2015,Week 45 '15 Baseload,5,840,40.5
7/08/2015,Week 33 '15 Baseload,20,3360,34.5
14/05/2014,Day-ahead Baseload,5,120,38.3
28/09/2015,Day-ahead Baseload,30,720,37
6/10/2014,November '14 Baseload,10,7200,37.05
24/10/2013,Week 44 '13 Baseload,25,4200,31.25
6/01/2015,Weekend Baseload,10,480,10
21/10/2014,Day-ahead Baseload,5,120,38
20/08/2015,Weekend Baseload,50,2400,22.5
30/09/2015,Day-ahead Baseload,10,240,43
27/08/2014,Weekend Baseload,13,624,28
30/10/2015,Sunday Baseload,30,720,32.35
24/08/2015,Year 2016 Baseload,10,87840,31.3
29/06/2015,Day-ahead Baseload,5,120,38
29/01/2015,Day-ahead Baseload,10,240,38.75
13/11/2015,Weekend Baseload,50,2400,22.5
13/08/2013,September '13 Baseload,10,7200,36.05
7/12/2015,Year 2016 Baseload,5,43920,31.9
11/05/2015,June '15 Baseload,10,7200,30.6
21/12/2015,Q2 '16 Baseload,50,109200,30
3/06/2014,Week 24 '14 Baseload,10,1680,31.25
11/03/2015,April '15 Baseload,20,14400,34.2
12/12/2014,Week 51 '14 Baseload,10,1680,36.25
16/04/2014,Year 2015 Baseload,25,219000,35.25
12/04/2016,May '16 Baseload,10,7440,25.5
10/06/2015,Q3 '15 Baseload,30,66240,30.55
10/12/2015,Week 51 '15 Baseload,10,1680,35.25
25/08/2015,September '15 Baseload,10,7200,33.45
1/06/2015,Day-ahead Baseload,5,120,25.5
6/10/2014,December '14 Baseload,10,7440,35.7
18/06/2014,Q3 '14 Baseload,10,22080,35.45
9/02/2016,Day-ahead Baseload,25,600,27.5
18/12/2014,Week 52 '14 Baseload,5,840,23.6
4/02/2015,Week 7 '15 Baseload,25,4200,37.4
25/11/2013,Day-ahead Baseload,10,240,51.75
1/04/2014,Year 2015 Baseload,5,43800,34.3
5/09/2013,Week 37 '13 Baseload,10,1680,42
19/10/2015,Day-ahead Baseload,5,120,49
4/09/2015,Weekend Baseload,25,1200,24.75
4/07/2014,August '14 Baseload,25,18600,34
4/06/2014,Week 24 '14 Baseload,10,1680,31.25
13/10/2015,Day-ahead Baseload,10,240,49
1/10/2014,Week 41 '14 Baseload,25,4200,35
10/11/2014,Day-ahead Baseload,10,240,37.25
8/10/2015,December '15 Baseload,5,3720,32.35
24/03/2014,Day-ahead Baseload,5,120,37.4
8/04/2015,Day-ahead Baseload,10,240,41
10/11/2015,Q3 '16 Baseload,50,110400,33
14/12/2015,Day-ahead Baseload,10,240,44
11/02/2016,Day-ahead Baseload,25,600,30.7
26/02/2015,April '15 Baseload,10,7200,34.3
2/12/2015,January '16 Baseload,10,7440,32.85
9/07/2014,August '14 Baseload,5,3720,34
17/04/2015,Year 2016 Baseload,5,43920,33.85
1/06/2015,Day-ahead Baseload,10,240,25.5
7/09/2015,Q4 '15 Baseload,10,22090,33.65
3/07/2015,Week 28 '15 Baseload,10,1680,38.2
23/03/2016,April '16 Baseload,5,3600,26
16/07/2014,Year 2015 Baseload,10,87600,34.95
6/10/2014,Day-ahead Baseload,5,120,34
6/02/2015,Week 8 '15 Baseload,10,1680,34.25
3/02/2015,March '15 Baseload,25,18575,33
22/12/2014,Wednesday Baseload,10,240,9
23/07/2015,Day-ahead Baseload,35,840,49
10/04/2014,May '14 Baseload,25,18600,31
22/01/2015,Week 5 '15 Baseload,25,4200,33
29/01/2015,Day-ahead Baseload,5,120,39.25
29/10/2015,Day-ahead Baseload,10,240,45
1/04/2014,Day-ahead Baseload,10,240,40
14/12/2015,Day-ahead Baseload,10,240,44.4
23/04/2014,May '14 Baseload,25,18600,32.25
22/10/2014,Week 44 '14 Baseload,10,1680,34
31/10/2013,November '13 Baseload,10,7200,40.8
16/07/2015,Day-ahead Baseload,10,240,46
10/10/2013,Day-ahead Baseload,5,120,44.5
20/08/2013,September '13 Baseload,5,3600,36.85
5/03/2015,April '15 Baseload,10,7200,34.25
20/09/2013,Weekend Baseload,10,480,35.3
18/12/2013,Day-ahead Baseload,10,240,38.5
24/04/2015,Weekend Baseload,10,480,25.25
7/02/2014,Sunday Baseload,5,120,12
14/07/2016,Year 2017 Baseload,5,43800,30.1
9/06/2016,Day-ahead Baseload,10,240,35
31/01/2014,Weekend Baseload,10,480,29.3
4/08/2014,September '14 Baseload,5,3600,34.8
28/07/2016,Year 2017 Baseload,10,87600,30
14/10/2014,November '14 Baseload,5,3600,35.35
6/02/2014,Day-ahead Baseload,5,120,28.6
21/04/2016,May '16 Baseload,5,3720,26.35
5/03/2015,April '15 Baseload,10,7200,34
9/10/2015,Year 2017 Baseload,5,43800,31.35
13/01/2015,February '15 Baseload,10,6720,38.5
7/10/2013,Day-ahead Baseload,10,240,55
7/08/2013,Day-ahead Baseload,4,96,50.5
7/05/2015,June '15 Baseload,10,7200,30.6
12/11/2015,Week 47 '15 Baseload,10,1680,36
6/11/2015,Week 46 '15 Baseload,10,1680,33.5
7/08/2013,Day-ahead Baseload,10,240,47.5
